Modelo,Tipo,Epsilon frac,Media (diaria),Media (anual),Std (diaria),Std (anual),Sharpe (diario),Sharpe (anual),CVaR(0.05),Turnover promedio,Avg. Portfolio Assets,N iter. OK
SAA-Markowitz,BENCHMARK,,0.0001529,0.038530800000000004,0.0099981,0.1587149170989293,0.0153,0.2427,-0.023654,0.0471,12.87,1160.0
MinVar,BENCHMARK,,-0.0001291,-0.0325332,0.0089547,0.14215145559114054,-0.0144,-0.2289,-0.02157,0.0165,15.51,1250.0
EqualWeight,BENCHMARK,,,,,,,,,,,0.0
2-WDRO-Markowitz (eps=0.50),DRO,0.5,0.0002316,0.0583632,0.010688,0.16966674007595006,0.0217,0.344,-0.024879,0.0493,12.92,1160.0
2-WDRO-Markowitz (eps=0.75),DRO,0.75,0.0003045,0.076734,0.0115363,0.1831330850990066,0.0264,0.419,-0.027122,0.0514,12.78,1160.0
2-WDRO-Markowitz (eps=1.00),DRO,1.0,0.0004419,0.11135880000000001,0.013641,0.2165441618053925,0.0324,0.5142,-0.033246,0.0536,10.59,1160.0
1-WDRO-CVaR (eps=0.50),DRO,0.5,0.0002554,0.0643608,0.0107665,0.1709128889434615,0.0237,0.3766,-0.025352,0.053,13.71,1160.0
1-WDRO-CVaR (eps=0.75),DRO,0.75,0.0002812,0.0708624,0.0114802,0.1822425252077023,0.0245,0.3889,-0.027009,0.0525,13.38,1160.0
1-WDRO-CVaR (eps=1.00),DRO,1.0,0.0004226,0.10649520000000001,0.0136141,0.21611713754378667,0.031,0.4927,-0.033198,0.054,10.99,1160.0
2-WDRO-CVaR (eps=0.50),DRO,0.5,0.0003202,0.0806904,0.0125572,0.19933937017980166,0.0255,0.4048,-0.03034,0.1265,17.52,1157.0
2-WDRO-CVaR (eps=0.75),DRO,0.75,0.0004279,0.1078308,0.0130689,0.20746235585503217,0.0327,0.5198,-0.031785,0.0825,18.34,1128.0
2-WDRO-CVaR (eps=1.00),DRO,1.0,0.0002262,0.0570024,0.0158596,0.2517633449577599,0.0143,0.2264,-0.039601,0.068,18.85,960.0
2-WDRO-CVaR-M (eps=0.50),DRO,0.5,,,,,,,,,,0.0
2-WDRO-CVaR-M (eps=0.75),DRO,0.75,,,,,,,,,,0.0
2-WDRO-CVaR-M (eps=1.00),DRO,1.0,,,,,,,,,,0.0
