Empresa,1-WDRO-CVaR (eps=0.50),1-WDRO-CVaR (eps=0.75),1-WDRO-CVaR (eps=1.00),2-WDRO-CVaR (eps=0.50),2-WDRO-CVaR (eps=0.75),2-WDRO-CVaR (eps=1.00),2-WDRO-Markowitz (eps=0.50),2-WDRO-Markowitz (eps=0.75),2-WDRO-Markowitz (eps=1.00),EqualWeight,MinVar,SAA-Markowitz
Almacenes Exito,0.0574,0.0491,,0.0432,0.0398,,,,,,0.0824,
Aval Acciones y Valores Pref,,,,,,,,,,0.0500,,
Banco Davivienda Pref,,,,,,,,,,0.0500,,
Banco De Bogota,,,,,,,,,,0.0500,,
Cemargos,0.1712,0.1875,0.2250,0.2170,0.2228,0.2476,0.1589,0.1808,0.2235,,,0.1313
Corficol Pref,,,,,,,,,,,0.0929,
Ecopetrol,,,0.0467,0.0481,0.0478,0.0501,,,0.0480,,,
Grupo Argos Pref,,,,,,,0.0568,0.0565,,,,
Grupo Bolivar,,,,,,,,,,,0.0829,
Grupo Cibest,,,,,,,,,,,,0.0746
Grupo de Inversiones Suramericana Pref,0.0717,0.0694,0.0507,,,0.0350,0.0650,0.0635,0.0479,,,0.0610
Mineros SA,0.2004,0.2214,0.2535,0.2226,0.2381,0.2647,0.1987,0.2190,0.2528,,,0.1724
Organizacion Terpel SA,,,,,,,,,,,0.0957,
Promigas,,,,,,,,,,0.0500,0.0882,
Suramericana,0.1764,0.1958,0.2264,0.2161,0.2254,0.2379,0.1722,0.1929,0.2255,0.0500,,0.1439
